date,Gas_sum,Gas_max,Gas_min,Gas_mean,ext_temp_max,ext_temp_min,ext_temp_mean,ext_hum_max,ext_hum_min,ext_hum_mean,SH_temp_max,SH_temp_min,SH_temp_mean,SH_hum_max,SH_hum_min,SH_hum_mean,DWH_temp_max,DWH_temp_min,DWH_temp_mean,DWH_hum_max,DWH_hum_min,DWH_hum_mean
2020-04-04,6.659666666666662,0.115,0.0103333333333333,0.046247685185185156,20.166666670000005,5.966666667,11.865046296722221,80.66666666999998,35.333333329999995,58.074074073611115,22.01641632981397,19.42409962962963,20.83704897546545,53.925478327228326,42.46251060606061,48.62032971135059,22.687692307692306,18.302692307692308,20.77452486830829,55.81884615384615,43.169285714285714,49.42819426603351
2020-04-07,4.136781609195397,0.1006666666666666,0.0013793103448275,0.028727650063856927,20.3,3.866666667000001,12.536342592402779,84.0,39.33333333,59.83101851833333,22.996873102061336,19.675036730945823,21.674786900255846,53.32332076134802,43.9251376844071,48.5285988072331,22.7998,17.42818181818182,21.487196909028135,62.27857142857143,46.946,51.22717574533039
2020-04-10,3.2169999999999948,0.0666666666666666,0.001,0.02234027777777774,21.89999999999999,7.966666667,13.777314814979167,90.0,40.666666670000005,70.25231481506944,23.2789126984127,20.894554444444445,22.159825126931175,58.685697917219656,51.03092407407407,54.89806114282763,22.8825,20.025384615384613,22.071690534807384,63.962,52.572,57.40025420382757
2020-04-13,5.201333333333328,0.102,0.0036666666666666,0.03612037037037033,17.46666667,1.6666666670000003,8.534259259173611,85.0,30.66666667000001,54.31249999965277,22.35824373219373,18.839556776556776,20.61360845833565,52.51679654631083,39.57896291208791,44.86773378680182,22.618,16.365454545454547,20.63867259605145,61.65363636363636,43.88307692307693,49.57272119224614
2020-04-16,4.787333333333328,0.1063333333333333,0.0026666666666666,0.033245370370370335,19.26666667,5.166666666999998,10.472222222027778,86.33333333000003,23.66666667000001,59.854166666597216,22.548049541047188,19.677228148148156,21.056771912176785,51.23077824463118,36.56611721611721,45.616402860727376,22.7126,19.18192307692308,21.55833192200993,54.25461538461539,42.43416666666666,48.3015471751124
2020-04-19,4.945999999999994,0.1003333333333333,0.0046666666666666,0.03434722222222218,17.83333333,5.3666666670000005,10.824074074104168,83.66666666999997,27.66666667000001,53.550925926180554,22.16691170006464,19.336336134453784,20.79796016674502,51.27148544973544,37.403761059453366,44.11340533876306,23.07673076923077,18.468461538461536,21.248803859172494,55.9676923076923,37.7065625,45.779790143082494
2020-04-22,3.214528735632179,0.0963333333333333,0.003,0.02232311621966791,20.200000000000003,6.933333333000002,13.62291666673611,79.66666666999998,26.66666667000001,53.03703703666667,23.82332049319728,19.974557112691237,21.81724222817088,48.524553968253976,39.43009264957265,45.31708680399111,23.2206,19.72153846153846,21.84711011173433,55.74230769230769,44.254038461538464,48.6379713230057
2020-04-25,3.0999999999999943,0.0699999999999999,0.0013333333333333,0.02152777777777774,18.8,7.266666667000002,12.022685184854167,81.0,40.33333333,60.833333333125,23.398260748880748,20.564599206349204,22.30887857342033,51.68950396825397,40.21056614953674,47.086452020512006,23.340192307692316,19.72611111111111,22.287960588644573,56.76541666666667,43.80321428571428,51.027405020423245
2020-04-28,6.2999999999999945,0.1213333333333333,0.0046666666666666,0.04374999999999996,13.566666670000002,6.0,8.748148148118055,87.0,43.66666667000001,72.4050925926389,21.957249007936507,19.040346158463382,20.39016107354589,54.35944026071967,45.672853333333336,50.708050965750814,22.0496,18.273076923076925,20.87677773186078,59.6364,48.81636363636363,52.806479373824146
2020-05-01,6.154333333333328,0.1133333333333333,0.0066666666666666,0.04273842592592589,16.300000000000004,5.933333333000002,10.445601851652777,87.66666666999997,43.33333332999999,68.29861111145834,21.753268172268907,19.191276310524213,20.585350557190026,54.77516494597838,47.65802064856712,52.186850866422496,22.92355769230769,18.30461538461538,20.986722195927562,58.175384615384615,49.8812,53.76211535856035
