Metric,Total NN,SH NN,DWH NN
MAE,0.03280210065685431,0.02922100711430931,0.03454278247919436
MSE,0.0016969751724078593,0.0015042565556903419,0.0019015471041784258
RMSE,0.041194358502200996,0.038784746430656755,0.04360673232630973
R2,0.1640193136631899,0.25895826391594534,0.06324106616287706
Adjusted R2,0.16200247244162946,0.25806544254716934,0.06211244094138646
MAPE,1.6480731301872578,1.5312544697516945,1.990898616488345
