Metric,Total Linear Regression,SH Linear Regression,DWH Linear Regression
MAE,0.11344683892859964,0.12222523133630836,0.1276750126678795
MSE,0.02105596709432706,0.024158655392044447,0.026605351828852496
RMSE,0.1451067437934125,0.155430548451855,0.16311147056185993
R2,0.40335633197424825,0.3154382934250034,0.24610849584016603
Adjusted R2,0.40191690213582665,0.3146135202845517,0.2452001928231059
MAPE,1.8437437189489814,2.0720256605954717,2.121150447885077
