Metric,Total ANN,SH ANN,DWH ANN
MAE,0.01640742916150564,0.011666273999878874,0.016141621817216144
MSE,0.00042175998836747295,0.000246503460117551,0.0004438492726379306
RMSE,0.033361110749913755,0.020843819141490826,0.0210677306000891
R2,0.6470954485216318,0.7937400525655004,0.6286124032519322
Adjusted R2,0.041479175311581185,0.6454726153362412,0.6268442821918575
MAPE,0.7353940500296344,0.4402352937544644,0.4716670340791149
