Metric,Total LSTM ,SH LSTM,DWH LSTM
MAE,0.025333648310034488,0.025654243649237237,0.028522979256609845
MSE,0.0010794194855037026,0.0011993611175975612,0.0014517487852978661
RMSE,0.03285452001633417,0.0346317934504923,0.03810182128583706
R2,0.45944696066368107,0.39938244020429803,0.2729914284627033
Adjusted R2,0.458958729708387,0.3992017218171171,0.2727726805850029
MAPE,1.6518616354775046,1.1080847105810814,1.3291794941314
