Metric,Total ANN,SH ANN,DWH ANN
MAE,0.023710261747333414,0.026386066404158887,0.029907562729019815
MSE,0.0009864523732764112,0.001179211588770104,0.0014926232107648429
RMSE,0.031407839360204505,0.03433965038800051,0.038634482146973875
R2,0.5140440794545769,0.4190851290313279,0.2646891973045655
Adjusted R2,0.5128716888139365,0.4183852315964258,0.26380328067481207
MAPE,1.2110966144270792,1.3018990275507658,1.5737942882051865
