,date,Gas m3_mean,Air temp (degC)_mean,RH (%)_mean,sh_temp_mean,sh_hum_mean,dwh_temp_mean,dwh_hum_mean
13324,21/12/2020 18:00,0.1363333333333333,10.53333333,90.66666666999996,20.563520908710707,63.135525641025644,21.5565,60.60600000000001
13325,21/12/2020 18:30,0.1473333333333333,10.566666670000002,91.0,20.69419463410364,62.559418803418794,21.589826923076927,59.599999999999994
13326,21/12/2020 19:00,0.096,10.300000000000002,90.66666666999996,21.034130460858584,61.75055555555555,21.734558823529415,59.30766666666667
13327,21/12/2020 19:30,0.0793333333333333,10.199999999999998,91.0,21.392626007326008,60.38932692307693,21.47561111111111,59.55875
13328,21/12/2020 20:00,0.1086666666666666,9.933333333000002,90.33333333000004,20.040472222222224,64.41637355699855,21.08771875,60.614285714285714
13329,21/12/2020 20:30,0.1106666666666666,9.633333333,91.0,20.332446382049323,63.047537878787885,21.22828947368421,61.11470588235294
13330,21/12/2020 21:00,0.111,9.333333333000002,90.33333333000004,21.37454226190476,62.52425925925926,20.35073333333333,68.54923076923077
13331,21/12/2020 21:30,0.073,9.033333332999998,90.33333333000004,21.047271212121213,63.30113553113553,20.9771,59.52692307692308
13332,21/12/2020 22:00,0.1206666666666666,8.866666667,90.0,20.755308814102566,64.01326388888889,21.166,60.62499999999999
13333,21/12/2020 22:30,0.1083333333333333,8.666666666999996,89.66666666999997,20.726890828402365,64.46573593073593,21.823846153846155,62.03545454545454
13334,21/12/2020 23:00,0.092,8.400000000000002,89.0,21.583397989163615,61.827069597069595,21.0788125,63.29071428571429
13335,21/12/2020 23:30,0.0633333333333333,8.300000000000002,89.0,20.85100183150183,65.66168831168831,20.15372727272728,70.84444444444445
13336,22/12/2020 00:00,0.0446666666666666,8.199999999999998,88.66666666999997,20.79531036324786,64.14090476190476,21.189461538461536,59.84090909090909
13337,22/12/2020 00:30,0.018,8.066666666999998,88.0,20.153247189153436,65.95197471509972,18.953875,71.52857142857144
13338,22/12/2020 01:00,0.024,7.800000000000002,86.66666666999997,20.520566239316242,65.16413364413364,20.1986875,66.39571428571428
13339,22/12/2020 01:30,0.0103333333333333,7.133333333,78.0,20.914707307449497,59.77388455988456,20.073222222222224,60.7
13340,22/12/2020 02:00,0.036,6.633333333,77.0,20.352323067957684,62.54543981481481,19.116,65.47142857142858
13341,22/12/2020 02:30,0.0433333333333333,6.266666667000002,79.33333333000002,20.20425686813187,62.81606934001672,20.250466666666668,57.75807692307691
13342,22/12/2020 03:00,0.0333333333333333,5.800000000000002,82.0,19.623734668803422,62.60283057851239,20.33833333333333,58.575
13343,22/12/2020 03:30,0.0383333333333333,5.599999999999998,81.66666666999998,19.27790808678501,63.87475895316805,18.02309090909091,69.51111111111112
13344,22/12/2020 04:00,0.035,5.400000000000002,79.0,19.568275980392155,64.07377344877345,20.046416666666666,58.159375
13345,22/12/2020 04:30,0.0466666666666666,4.966666667,80.66666666999998,19.55646203416149,61.84605644355645,20.1435,57.03295454545456
13346,22/12/2020 05:00,0.03,4.633333333,81.33333333000002,19.549964801864803,60.83539821289821,20.3306875,55.822500000000005
13347,22/12/2020 05:30,0.0376666666666666,4.599999999999999,81.66666666999998,19.346550295857988,60.98182014954742,18.37725,64.53
13348,22/12/2020 06:00,0.042,4.8666666670000005,80.0,19.649009601618427,60.82767953414107,20.350794117647062,55.826
13349,22/12/2020 06:30,0.0766666666666666,5.099999999999999,79.0,19.76863638583639,60.60743055555556,19.2255,63.365
13350,22/12/2020 07:00,0.103,4.633333333,83.33333333000003,18.475902915711742,62.981059027777775,18.808533333333337,63.37769230769231
13351,22/12/2020 07:30,0.103,4.3666666670000005,84.33333333000003,19.311412154512155,61.96355344655345,20.633928571428573,57.88916666666668
13352,22/12/2020 08:00,0.1096666666666667,4.299999999999999,84.66666666999997,19.3198528998779,60.906810897435896,19.6398,62.5725
13353,22/12/2020 08:30,0.108,4.466666667,85.0,19.390346861471862,60.05924358974359,19.58094117647059,60.928
13354,22/12/2020 09:00,0.1103333333333333,4.633333333,83.33333333000003,19.1681889287613,60.30030303030303,19.59453333333333,59.40153846153847
13355,22/12/2020 09:30,0.1153333333333333,4.966666667,82.0,19.667280677655675,59.04847222222222,20.78696875,61.22142857142857
13356,22/12/2020 10:00,0.128,5.199999999999998,82.0,19.96026088435374,59.58574542124542,18.88235294117647,61.12266666666667
13357,22/12/2020 10:30,0.08,5.266666667000002,81.33333333000002,19.36542344665139,61.493466435185184,21.638038461538464,57.23227272727273
13358,22/12/2020 11:00,0.112,5.233333332999998,80.66666666999998,20.528846371882082,58.467862426035495,21.845529411764705,57.832
13359,22/12/2020 11:30,0.1496666666666666,5.099999999999999,81.0,21.09772048611111,56.931060606060605,21.00776923076923,57.63727272727272
13360,22/12/2020 12:00,0.121,5.199999999999998,81.0,19.74130693319838,57.8992601010101,20.674464285714283,59.62083333333334
13361,22/12/2020 12:30,0.1336666666666666,5.533333333,80.66666666999998,19.8834626984127,58.83783978174603,21.22671875,59.79035714285715
13362,22/12/2020 13:00,0.104,5.900000000000002,80.66666666999998,19.845889002267572,59.83304563492063,20.2085,61.518
13363,22/12/2020 13:30,0.1093333333333333,6.199999999999998,79.0,20.427945415695415,58.801538095238094,21.268566666666665,57.42884615384615
13364,22/12/2020 14:00,0.0969999999999999,6.433333333000002,77.66666666999998,19.91421243386243,57.839818986568986,21.035192307692306,59.277272727272724
13365,22/12/2020 14:30,0.1076666666666666,6.3666666670000005,78.0,19.808824082663367,61.62963955026455,19.71957142857143,62.92916666666667
13366,22/12/2020 15:00,0.0773333333333333,6.400000000000002,79.33333333000002,19.647868296233682,60.816073908730154,19.550454545454546,62.900000000000006
13367,22/12/2020 15:30,0.0806666666666666,6.0,81.0,20.29822326007326,59.38350378787879,20.964666666666666,55.4285
13368,22/12/2020 16:00,0.1009999999999999,5.566666666999998,84.0,19.76234424603175,60.30227813852814,21.77185714285714,55.55916666666667
13369,22/12/2020 16:30,0.0683333333333333,5.466666667,84.66666666999997,19.827733150183153,60.68338383838384,21.089029411764706,56.12733333333333
13370,22/12/2020 17:00,0.094,5.400000000000002,84.0,20.7112601981352,56.86922727272727,18.91,63.76071428571428
13371,22/12/2020 17:30,0.161,5.199999999999998,85.0,19.531360569255305,62.29295454545454,20.600833333333334,57.701153846153844
13372,22/12/2020 18:00,0.1453333333333333,5.233333332999998,84.0,20.05260042735043,62.28874999999999,21.46507692307692,56.474999999999994
13373,22/12/2020 18:30,0.1713333333333333,5.266666667000002,83.0,20.58513565323565,59.854989858626226,20.528166666666667,66.54
13374,22/12/2020 19:00,0.1669999999999999,5.066666666999998,83.33333333000003,20.442726331360948,62.17353156565657,22.427964285714285,55.947500000000005
13375,22/12/2020 19:30,0.144,5.066666666999998,84.0,20.458585347985345,60.489739635364636,22.388399999999997,56.30538461538461
13376,22/12/2020 20:00,0.1563333333333333,5.133333333,83.66666666999997,20.611379181235428,62.51242812742813,22.08130769230769,56.70636363636363
13377,22/12/2020 20:30,0.1126666666666666,5.0,86.0,20.86758354978355,58.29948107448107,22.487529411764704,56.986999999999995
13378,22/12/2020 21:00,0.095,5.0,87.0,20.77868722943723,59.59337542087543,20.58,59.68399999999999
13379,22/12/2020 21:30,0.0876666666666666,5.0,88.0,20.430917658730156,60.41337832874197,20.800941176470587,65.04666666666667
13380,22/12/2020 22:00,0.1136666666666666,4.900000000000001,87.66666666999997,20.86485588972431,59.90289117647059,22.856156249999998,54.333214285714284
13381,22/12/2020 22:30,0.0753333333333333,4.8333333330000015,86.0,19.881234693877552,61.885536796536805,19.784882352941175,62.190000000000005
