Metric,Total ANN,SH ANN,DWH ANN,Total DNN,SH DNN,DWH DNN,Total NN,SH NN,DWH NN,Total LSTM ,SH LSTM,DWH LSTM,Total Linear Regression,SH Linear Regression,DWH Linear Regression
MAE,0.0236088472054758,0.0265679328980806,0.0298409714437782,0.0296741974595814,0.0296741974595814,0.0295433709890336,0.0328021006568543,0.0292210071143093,0.0345427824791943,0.0253336483100344,0.0256542436492372,0.0285229792566098,0.1134468389285996,0.1222252313363083,0.1276750126678795
MSE,0.0009998317911579,0.0011866820889028,0.0014928292301195,0.0015237440256355,0.0015237440256355,0.0014890988517415,0.0016969751724078,0.0015042565556903,0.0019015471041784,0.0010794194855037,0.0011993611175975,0.0014517487852978,0.021055967094327,0.0241586553920444,0.0266053518288524
RMSE,0.0316201168745144,0.0344482523345218,0.0386371483176429,0.0312909986369387,0.0346219622176675,0.038588843617573,0.0411943585022009,0.0387847464306567,0.0436067323263097,0.0328545200163341,0.0346317934504923,0.038101821285837,0.1451067437934125,0.155430548451855,0.1631114705618599
R2,0.5074529783440487,0.4154049373998721,0.2645877060132742,0.249358153811426,0.249358153811426,0.2664254018897178,0.1640193136631899,0.2589582639159453,0.063241066162877,0.459446960663681,0.399382440204298,0.2729914284627033,0.4033563319742482,0.3154382934250034,0.246108495840166
Adjusted R2,0.5062646863738293,0.4147006059991491,0.2637016671048564,0.5164892924176235,0.4087828232128407,0.2655415770727175,0.1620024724416294,0.2580654425471693,0.0621124409413864,0.458958729708387,0.3992017218171171,0.2727726805850029,0.4019169021358266,0.3146135202845517,0.2452001928231059
MAPE,1.1166481286563663,1.312002926899124,1.501305378781258,1.5091426166410122,1.5091426166410122,1.462832101072273,1.6480731301872578,1.5312544697516943,1.990898616488345,1.6518616354775046,1.1080847105810814,1.3291794941314,1.8437437189489811,2.072025660595472,2.121150447885077
